id,name,phone_original,phone_normalized,country,rating,company,address
ChIJ212X0pCtNTERpWpdVXGQp4E,LaptopGame.vn,+84 963 446 199,+84963446199,vietnam,5.0,LaptopGame.vn,"24 Ng. 133 - Thái Hà, Trung Liệt, Đống Đa, Hà Nội 11500, Vietnam"
ChIJQS_-3fOtNTERiPtQJgqRaS8,Máy Tính PCM,+84 879 979 997,+84879979997,vietnam,5.0,Máy Tính PCM,"83 P. Thái Hà, Trung Liệt, Đống Đa, Hà Nội, Vietnam"
ChIJzyJHjJmsNTERdOi4T9QVJeo,Divine Shop,+84 1900 633305,+841900633305,vietnam,5.0,Divine Shop,"96 P. Định Công, Phương Liệt, Thanh Xuân, Hà Nội, Vietnam"
ChIJozqbvpCrNTER-H43bQDOdRI,"Duchieupc - Cửa hàng máy tính gaming, máy tính đồ họa cao cấp",+84 328 339 988,+84328339988,vietnam,5.0,"Duchieupc - Cửa hàng máy tính gaming, máy tính đồ họa cao cấp","5 Ng. 16 P. Thái Hà, Trung Liệt, Đống Đa, Hà Nội 100000, Vietnam"
ChIJy_K048KrNTERB3cTjGdOytE,Cửa hàng Phúc Anh Smart World,+84 24 3968 9966,+842439689966,vietnam,5.0,Cửa hàng Phúc Anh Smart World,"89 Đ. Lê Duẩn, Văn Miếu – Quốc Tử Giám, Hoàn Kiếm, Hà Nội 100000, Vietnam"
ChIJU914O7gpdTERN-7mI_GmjJg,HUỲNH GIA COMPUTER,+84 868 686 397,+84868686397,vietnam,5.0,HUỲNH GIA COMPUTER,"8/18 Đ. Yên Đỗ, Tân Thành, Tân Phú, Thành phố Hồ Chí Minh 70000, Vietnam"
ChIJXx7gqh4pdTERM1ZfeESjs_w,Thu mua laptop cũ giá cao - Laptop Kim Cương,+84 918 299 907,+84918299907,vietnam,5.0,Thu mua laptop cũ giá cao - Laptop Kim Cương,"112/32 Bùi Quang Là, Phường 14, Gò Vấp, Thành phố Hồ Chí Minh, Vietnam"
ChIJ868jzRovdTERWH9HePbCDSI,Sửa chữa macbook Tín Nhân,+84 916 666 622,+84916666622,vietnam,5.0,Sửa chữa macbook Tín Nhân,"285/51 Cách Mạng Tháng Tám, Phường 12, Quận 10, Thành phố Hồ Chí Minh 700000, Vietnam"
ChIJP7y1NocvdTERYhQ9vnXGc9E,Sửa Laptop Bảo An,+84 763 647 686,+84763647686,vietnam,5.0,Sửa Laptop Bảo An,"1/44 Đ. Tân Thành, Hòa Thạnh, Tân Phú, Thành phố Hồ Chí Minh 72006, Vietnam"
ChIJi6B1A9QrdTEROMR3MpfpRG8,"trungtamlaptop.com-chuyên mua bán-sửa chữa laptop, máy tính, máy in, camera(cty tnhh công minh)sua laptop q12 chuyen nghiep",+84 909 099 538,+84909099538,vietnam,5.0,"trungtamlaptop.com-chuyên mua bán-sửa chữa laptop, máy tính, máy in, camera(cty tnhh công minh)sua laptop q12 chuyen nghiep","511 Đ. Trường Chinh, Tân Thới Nhất, Quận 12, Thành phố Hồ Chí Minh, Vietnam"
ChIJQ9cxdNwvdTER2T5Zve8mBF0,Sửa chữa máy tính LAPTOP Minh Tâm ADE 24/7 (giá sinh viên),+84 934 965 712,+84934965712,vietnam,5.0,Sửa chữa máy tính LAPTOP Minh Tâm ADE 24/7 (giá sinh viên),"135A Nguyễn Chí Thanh, Phường 9, Quận 5, Thành phố Hồ Chí Minh 00700, Vietnam"
ChIJJ8z9nnEpdTERCDDootwQtsA,Mua Bán - Sửa Chữa - Laptop - MacBook - LapTop HD,+84 974 212 652,+84974212652,vietnam,5.0,Mua Bán - Sửa Chữa - Laptop - MacBook - LapTop HD,"390 Đường Quang Trung, Phường 10, Gò Vấp, Thành phố Hồ Chí Minh 727010, Vietnam"
ChIJRR5X3MAvdTERXA3O7OvYt7c,Sửa Laptop Quận 10 - FastFix Repair Center,+84 786 890 792,+84786890792,vietnam,5.0,Sửa Laptop Quận 10 - FastFix Repair Center,"030 Lô V Chung Cư Ngô Gia Tự Phường 2 Quận 10 Đối diện 108, Trần Nhân Tôn, Phường 2, Quận 10, Thành phố Hồ Chí Minh, Vietnam"
ChIJU84KUDsvdTERjxu1FInmDjU,Trung Tâm Sửa Chữa Applesaigon1,+84 917 978 009,+84917978009,vietnam,5.0,Trung Tâm Sửa Chữa Applesaigon1,"84B Cống Quỳnh, Phường Phạm Ngũ Lão, Quận 1, Thành phố Hồ Chí Minh 700000, Vietnam"
ChIJI_B9VJ4ndTERQ6qpm9mw2Ew,CỬA HÀNG VI TÍNH QUẬN 4 - LAPTOPGOLDVN,+84 868 020 292,+84868020292,vietnam,5.0,CỬA HÀNG VI TÍNH QUẬN 4 - LAPTOPGOLDVN,"222/12 Đoàn Văn Bơ, Phường 8, Quận 4, Thành phố Hồ Chí Minh 70000, Vietnam"
ChIJZXVEUTwvdTERASkpDmAXtDo,Công ty vi tính Quang Trung,+84 901 193 644,+84901193644,vietnam,5.0,Công ty vi tính Quang Trung,"75 Đ.Đông Hồ, Phường 4, Quận 8, Thành phố Hồ Chí Minh 700000, Vietnam"
ChIJu1IHUiApdTERSsGCwLpnHz4,Sửa Laptop Nhất Nghệ Tinh,+84 908 426 282,+84908426282,vietnam,5.0,Sửa Laptop Nhất Nghệ Tinh,"A01-16, Dreamhome Residence, 21 Đ. 59, p.14, Gò Vấp, Thành phố Hồ Chí Minh, Vietnam"
