title,phone,web_site,address,category,review_rating,country,city,link
Hanoi Computer,+84 24 3628 0886,https://hacom.vn/,"284 P. Thái Hà, Chợ Dừa, Đống Đa, Hà Nội 100000, Vietnam",Computer store,4.1,VN,Hanoi,https://www.google.com/maps/place/Hanoi+Computer/data=!4m7!3m6!1s0x3135ab7d94ae54b9:0x21aae6c934d53ad6!8m2!3d21.0150428!4d105.8178181!16s%2Fg%2F11c5634jf7!19sChIJuVSulH2rNTER1jrVNMnmqiE?authuser=0&hl=en&rclk=1
TNC Store,+84 868 302 123,http://www.tncstore.vn/,"172 P. Lê Thanh Nghị, Đồng Tâm, Hai Bà Trưng, Hà Nội, Vietnam",Computer store,4.9,VN,Hanoi,https://www.google.com/maps/place/TNC+Store/data=!4m7!3m6!1s0x3135ac70cf94287f:0x7362ea6005b5ac6e!8m2!3d21.0019476!4d105.844173!16s%2Fg%2F11cr_8p0ln!19sChIJfyiUz3CsNTERbqy1BWDqYnM?authuser=0&hl=en&rclk=1
Hoàng Hà PC Cầu Giấy,+84 969 123 666,https://hoanghapc.vn/,"41 P. Khúc Thừa Dụ, Dịch Vọng, Cầu Giấy, Hà Nội, Vietnam",Computer store,4.8,VN,Hanoi,https://www.google.com/maps/place/Ho%C3%A0ng+H%C3%A0+PC+C%E1%BA%A7u+Gi%E1%BA%A5y/data=!4m7!3m6!1s0x3135abd416877447:0xdfce989c77925c71!8m2!3d21.033961!4d105.7928403!16s%2Fg%2F11sy9147cg!19sChIJR3SHFtSrNTERcVySd5yYzt8?authuser=0&hl=en&rclk=1
Vii PC,6334 3381,https://www.viipctrade.com/,"1 Rochor Canal Rd, #05-75 Vii PC, Sim Lim Square, Singapore 188504",Computer store,4.8,SG,Singapore,https://www.google.com/maps/place/Vii+PC/data=!4m7!3m6!1s0x31da19a123e84d51:0x10b894a505c2dcbe!8m2!3d1.3030433!4d103.8529208!16s%2Fg%2F1t_tgtq1!19sChIJUU3oI6EZ2jERvtzCBaWUuBA?authuser=0&hl=en&rclk=1
Máy Tính Nguyễn Công,+84 828 333 363,http://nguyencongpc.vn/,"17 P. Hà Kế Tấn, Phương Liệt, Thanh Xuân, Hà Nội 10000, Vietnam",Computer store,4.8,VN,Hanoi,https://www.google.com/maps/place/M%C3%A1y+T%C3%ADnh+Nguy%E1%BB%85n+C%C3%B4ng/data=!4m7!3m6!1s0x3135adbc142ab95b:0xda48eba865e8e4d0!8m2!3d20.9976822!4d105.836657!16s%2Fg%2F11p00975tq!19sChIJW7kqFLytNTER0OToZajrSNo?authuser=0&hl=en&rclk=1
LaptopGame.vn,+84 963 446 199,http://laptopgame.vn/,"24 Ng. 133 - Thái Hà, Trung Liệt, Đống Đa, Hà Nội 11500, Vietnam",Computer store,5,VN,Hanoi,https://www.google.com/maps/place/LaptopGame.vn/data=!4m7!3m6!1s0x3135ad90d2975ddb:0x81a79071555d6aa5!8m2!3d21.0129243!4d105.8186966!16s%2Fg%2F11hdwfdvym!19sChIJ212X0pCtNTERpWpdVXGQp4E?authuser=0&hl=en&rclk=1
Hoàng Hà PC Đống Đa,+84 396 122 999,https://hoanghapc.vn/,"Vietnam/94F Đ. Láng, Thịnh Quang, Đống Đa, Hà Nội 100000, Vietnam",Computer store,4.7,VN,Hanoi,https://www.google.com/maps/place/Ho%C3%A0ng+H%C3%A0+PC+%C4%90%E1%BB%91ng+%C4%90a/data=!4m7!3m6!1s0x3135adb26e178fc3:0x18f812bf0be1c328!8m2!3d21.0044021!4d105.8183135!16s%2Fg%2F11f5tvtx48!19sChIJw48XbrKtNTERKMPhC78S-Bg?authuser=0&hl=en&rclk=1
"Hoàng Long Computer Hà Đông - PC Gaming, PC Văn phòng, PC Đồ hoạ, PC Giả lập, PC full bộ, VGA, CPU",+84 982 368 008,https://hoanglongcomputer.vn/,"94 P. Nguyễn Văn Trỗi, P. Mộ Lao, Hà Đông, Hà Nội, Vietnam",Computer store,4.9,VN,Hanoi,"https://www.google.com/maps/place/Ho%C3%A0ng+Long+Computer+H%C3%A0+%C4%90%C3%B4ng+-+PC+Gaming,+PC+V%C4%83n+ph%C3%B2ng,+PC+%C4%90%E1%BB%93+ho%E1%BA%A1,+PC+Gi%E1%BA%A3+l%E1%BA%ADp,+PC+full+b%E1%BB%99,+VGA,+CPU/data=!4m7!3m6!1s0x3135accdafe2def5:0xb2b382a2ae076246!8m2!3d20.9808578!4d105.7858505!16s%2Fg%2F11f2plcmbb!19sChIJ9d7ir82sNTERRmIHrqKCs7I?authuser=0&hl=en&rclk=1"
"Hoàng Long Computer Đại La - Máy tính chơi game, Máy Tính Đồ Họa, Văn Phòng",,,"191 Đại La, Tổ 10B, Hai Bà Trưng, Hà Nội 100000, Vietnam",Computer store,5,VN,Hanoi,"https://www.google.com/maps/place/Ho%C3%A0ng+Long+Computer+%C4%90%E1%BA%A1i+La+-+M%C3%A1y+t%C3%ADnh+ch%C6%A1i+game,+M%C3%A1y+T%C3%ADnh+%C4%90%E1%BB%93+H%E1%BB%8Da,+V%C4%83n+Ph%C3%B2ng/data=!4m7!3m6!1s0x3135ad0037f5bfd9:0x25ca3e9878155297!8m2!3d20.9968134!4d105.8440361!16s%2Fg%2F11wbzb63pt!19sChIJ2b_1NwCtNTERl1IVeJg-yiU?authuser=0&hl=en&rclk=1"
An Phát Computer,+84 918 557 006,https://www.anphatpc.com.vn/,"49 P. Thái Hà, Trung Liệt, Đống Đa, Hà Nội 100000, Vietnam",Computer store,4.1,VN,Hanoi,https://www.google.com/maps/place/An+Ph%C3%A1t+Computer/data=!4m7!3m6!1s0x3135ac81c32f0073:0x720827020c66b776!8m2!3d21.0115154!4d105.8214425!16s%2Fg%2F11g6bgh6qs!19sChIJcwAvw4GsNTERdrdmDAInCHI?authuser=0&hl=en&rclk=1
